sno	CandidateName	Party_Name	EVM Votes	Postal Votes	Total Votes	%Votes	constuency
1	NEEL DAMAN KHATRI	Bharatiya Janata Party	68244	589	68833	41.54	NARELA
2	MAHENDER CHAUDHARY	Bahujan Samaj Party	811	10	821	0.5	NARELA
3	SHARAD KUMAR	Aam Aadmi Party	86070	192	86262	52.06	NARELA
4	SIDDHARTH KUNDU	Indian National Congress	6240	30	6270	3.78	NARELA
5	CHAND RAM	Rastriya Aam Jan Seva Party	138	0	138	0.08	NARELA
6	NAR SINGH	Sarvajan Hitay Party	603	1	604	0.36	NARELA
7	RAMESH KUMAR	Bhartiya Samajik Nyay Party	104	1	105	0.06	NARELA
8	RAJBALA SAINI	Loktanter Suraksha Party	1077	5	1082	0.65	NARELA
9	SURESH KUMAR	Peoples Party of India (Democratic)	180	0	180	0.11	NARELA
10	SULESH KUMAR	Aapki Apni Party (Peoples)	495	0	495	0.3	NARELA
11	ADITI	Independent	151	0	151	0.09	NARELA
12	NOTA	None of the Above	746	7	753	0.45	NARELA
1	GANGA RAM	Bahujan Samaj Party	1857	12	1869	0.84	BURARI
2	SANJEEV JHA	Aam Aadmi Party	139368	230	139598	62.81	BURARI
3	ANIL KUMAR YADAV	Bhartiya Samajik Nyay Party	1206	4	1210	0.54	BURARI
4	AMARJEET KUMAR	SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)	653	1	654	0.29	BURARI
5	ARVIND MISHRA	Hindusthan Nirman Dal	285	0	285	0.13	BURARI
6	AWDESH VERMA ALIAS AVDHESH VERMA	Jan Adhikar Party	281	1	282	0.13	BURARI
7	USHA GAUTAM	Rashtriya Aikta Manch Party	180	0	180	0.08	BURARI
8	KRISHNA MOHAN JHA	Aam Aadmi Sangharsh Party (S)	182	1	183	0.08	BURARI
9	GULAB SINGHAL	Rashtriya Janshakti Party (Secular)	146	0	146	0.07	BURARI
10	DINESH KUMAR MISHRA	Rashtriya Samaj Paksha	164	1	165	0.07	BURARI
11	DEEPAK GUPTA	Rashtriya Lok Dal	671	5	676	0.3	BURARI
12	DHARAM VEER	Shiv Sena	18022	22	18044	8.12	BURARI
13	PANKAJ KUMAR AGRAWAL	Republican Party of India (Athawale)	287	0	287	0.13	BURARI
14	PRAMOD TYAGI	Rashtriya Janata Dal	2262	16	2278	1.02	BURARI
15	MANOJ RAI	Aapki Apni Party (Peoples)	805	1	806	0.36	BURARI
16	MONU	Bhartiya Rashtrawadi Party	347	0	347	0.16	BURARI
17	RANJEET SINGH	Uttarakhand Kranti Dal	1239	5	1244	0.56	BURARI
18	RAM SUSHIL MISHRA	Satya Bahumat Party	456	0	456	0.21	BURARI
19	SHIV NARAYAN SINGH	Peoples Party of India (Democratic)	382	0	382	0.17	BURARI
20	SHAILENDRA KUMAR	Janata Dal (United)	50941	499	51440	23.14	BURARI
21	AAZAD NAFE SINGH RAJPUT	Independent	227	0	227	0.1	BURARI
22	SHAILENDRA SINGH PARIHAR	Independent	289	2	291	0.13	BURARI
23	NOTA	None of the Above	1198	8	1206	0.54	BURARI
1	AMAR LATA SANGWAN	Indian National Congress	3085	17	3102	2.5	TIMARPUR
2	ADVOCATE UMA SHANKER GAUTAM	Bahujan Samaj Party	305	1	306	0.25	TIMARPUR
3	DILIP PANDEY	Aam Aadmi Party	71345	87	71432	57.6	TIMARPUR
4	SURINDER PAL SINGH (BITTOO)	Bharatiya Janata Party	47136	152	47288	38.13	TIMARPUR
5	SANJEEV KUMAR RANA	Communist Party of India	245	0	245	0.2	TIMARPUR
6	AMITA MALIK	Akhil Bharatiya Jan Shakti Party	88	0	88	0.07	TIMARPUR
7	KAVITA	Bhartiya Samajik Nyay Party	80	0	80	0.06	TIMARPUR
8	JAGANNATH	Bhartiya Janta Dal (Integrated)	53	0	53	0.04	TIMARPUR
9	PARASHU RAM MAURYA	Jan Adhikar Party	84	0	84	0.07	TIMARPUR
10	YUGAL KISHOR PODDAR	Rashtravadi Janata Party	34	0	34	0.03	TIMARPUR
11	RAJ KUMAR MALIK	Satya Bahumat Party	62	0	62	0.05	TIMARPUR
12	VISHAL GHANSHAM GHOBALE	Tipu Sultan Party	129	0	129	0.1	TIMARPUR
13	SONU KAUSHIK	Aapki Apni Party (Peoples)	495	0	495	0.4	TIMARPUR
14	HEMRAJ	Peoples Party of India (Democratic)	105	0	105	0.08	TIMARPUR
15	NOTA	None of the Above	507	1	508	0.41	TIMARPUR
1	CHANDER PAL	Bahujan Samaj Party	530	2	532	0.51	ADARSH NAGAR
2	PAWAN SHARMA	Aam Aadmi Party	46808	84	46892	45.2	ADARSH NAGAR
3	MUKESH KUMAR GOEL	Indian National Congress	9986	28	10014	9.65	ADARSH NAGAR
4	RAJ KUMAR BHATIA	Bharatiya Janata Party	45066	237	45303	43.66	ADARSH NAGAR
5	KAILASH	Aapki Apni Party (Peoples)	302	0	302	0.29	ADARSH NAGAR
6	VIJAY KR AGGARWAL	Independent	163	1	164	0.16	ADARSH NAGAR
7	SHASHI	Independent	125	1	126	0.12	ADARSH NAGAR
8	NOTA	None of the Above	417	2	419	0.4	ADARSH NAGAR
1	AJESH YADAV	Aam Aadmi Party	69357	0	69357	49.67	BADLI
2	DEVENDER YADAV	Indian National Congress	27449	0	27449	19.66	BADLI
3	LAXMAN KUMAR	Bahujan Samaj Party	579	0	579	0.41	BADLI
4	VIJAY KUMAR BHAGAT	Bharatiya Janata Party	40234	0	40234	28.81	BADLI
5	UMA DUTT SHARMA	Rashtriya Aikta Manch Party	212	0	212	0.15	BADLI
6	NARENDRA PAL SINGH	Rashtriya Samaj Paksha	125	0	125	0.09	BADLI
7	PRADEEP KUMAR	Satya Bahumat Party	46	0	46	0.03	BADLI
8	MULAYAM SINGH	Akhil Bharatiya Jan Shakti Party	143	0	143	0.1	BADLI
9	VIJAY KUMAR	Aapki Apni Party (Peoples)	246	0	246	0.18	BADLI
10	JAI PAL	Independent	83	0	83	0.06	BADLI
11	DEVENDER SINGH YADAV	Independent	129	0	129	0.09	BADLI
12	VIKASH KUMAR	Independent	151	0	151	0.11	BADLI
13	SIDDHARTH NAIR	Independent	276	0	276	0.2	BADLI
14	NOTA	None of the Above	608	0	608	0.44	BADLI
1	PRADEEP KUMAR PANDEY	Indian National Congress	2634	17	2651	1.59	RITHALA
2	MANISH CHAUDHARY	Bharatiya Janata Party	73813	254	74067	44.33	RITHALA
3	MOHINDER GOYAL	Aam Aadmi Party	87807	133	87940	52.63	RITHALA
4	RAJESH KUMAR	Bahujan Samaj Party	487	4	491	0.29	RITHALA
5	JANAB MULLA	Asankhya Samaj Party	50	0	50	0.03	RITHALA
6	WAHEED KHAN	Tipu Sultan Party	53	0	53	0.03	RITHALA
7	VIJAY KUMAR	Rashtra Nirman Party	57	0	57	0.03	RITHALA
8	SHIV NANDAN SINGH	Bharatiya Sampuran Krantikari Party	188	0	188	0.11	RITHALA
